"Id","Prediction"
0,4126484.17034762
1,3468528.77906667
2,3668467.3743619
3,3103897.16349048
4,4338809.90919762
5,4785127.51896667
6,4363757.38763333
7,3651449.09565714
8,4953030.36963333
9,4136699.2245
10,4516038.55927619
11,4937951.38965
12,4336003.3163
13,4136668.04013333
14,4264066.82306667
15,4356389.22646667
16,4602453.13093333
17,3702752.60897857
18,5276217.34
19,3631140.12529048
20,2886661.98760476
21,4985897.90258254
22,4728721.96283333
23,4935389.60728889
24,4656753.05968333
25,4100490.3844
26,3501417.14337302
27,4885273.64519683
28,4010720.32372857
29,4968931.58144445
30,4734763.39186667
31,3251020.41792857
32,3517159.96376667
33,4740047.9885
34,3384743.48844524
35,4624072.67523333
36,4121427.56570238
37,4691755.62567857
38,3624484.77806825
39,4113122.66536667
40,5115828.85497619
41,4551034.78356667
42,5043474.4186
43,4804376.56436666
44,5216879.25633334
45,4114295.50946905
46,3567850.7988619
47,2954489.99509524
48,5412260.38556667
49,4736538.4417
50,4295304.52846667
51,3355686.14952857
52,5218940.22753333
53,3139512.23430714
54,3679108.72375238
55,4377311.07934444
56,5359917.16101905
57,4148865.83099524
58,4671131.74040953
59,5463320.21185
60,3499560.6071
61,3688540.80718413
62,4399493.67456667
63,4082019.52171111
64,4491702.16826667
65,5206145.9219
66,4618349.8808
67,5723795.27093333
68,5087040.44186667
69,4441693.14878333
70,4409933.74323334
71,3404503.6870619
72,4490005.5243
73,4231448.67096667
74,5171377.80593333
75,4612248.24107619
76,4711799.68985793
77,4509857.68201667
78,4934593.46913333
79,4317442.12646667
80,5317182.16105
81,4587121.98141905
82,4095476.85806667
83,4820816.98233333
84,5053030.6043
85,2424905.06773333
86,4606153.88264445
87,4921698.8977
88,4572213.5457
89,3778041.47390476
90,5168830.36376667
91,4403380.734
92,3704134.83143333
93,4366034.78094762
94,5241441.14259761
95,3553742.59166667
96,4621647.35267778
97,4666373.41773333
98,4259751.08003333
99,4854977.2668
100,4522592.6294619
101,2979182.85588572
102,3790601.35955
103,3679328.85993333
104,4243702.2681
105,3578174.02173333
106,4506765.09846667
107,4945333.09142857
108,4885125.9738
109,5150826.60486667
110,5064254.94113333
111,4517424.52780476
112,5030386.35993333
113,5209916.03345
114,4209134.1007381
115,4960066.4793
116,3192243.80719048
117,4835579.14193333
118,4149494.25170953
119,4913999.05527143
120,5028117.79283333
121,4818007.41300953
122,4701752.89804921
123,5429014.7717
124,3370224.04463809
125,4232668.83786667
126,5815922.08056667
127,3744959.0988
128,4515573.29371667
129,4492702.83053333
130,2983054.30634286
131,5113820.7557
132,4988696.28108333
133,3737585.3222
134,4486022.98386666
135,4231218.43426667
136,4391289.1095
137,4051227.543
138,4923882.90592857
139,4333727.61073333
140,5329166.54796667
141,2761761.95142381
142,4679005.24498572
143,3712899.9754
144,4699522.50865
145,4176639.79446667
146,4322590.73709683
147,3418828.70177143
148,4304938.79621904
149,4968096.66226667
150,4144647.63243333
151,3232056.16570476
152,4760169.25543333
153,5748745.53861905
154,3445972.3991
155,5117327.60711667
156,4783738.84373333
157,4605772.18396666
158,4057539.87396667
159,3830565.82156667
160,3114737.85045714
161,4528892.17643333
162,4176807.10695715
163,4745836.31533333
164,5867125.4009619
165,3637528.06803334
166,4525742.25146667
167,4116369.13286429
168,4799421.43393334
169,4955610.63843333
170,4028296.02115397
171,3471308.26402857
172,3904530.1421
173,4870963.6108619
174,5031676.71802381
175,3309832.5415619
176,5016004.04303333
177,4353385.51536667
178,4512440.73006667
179,3725115.39213333
180,4461757.08866667
181,4468571.9265
182,5053973.48956667
183,4303148.42293333
184,4783367.6708381
185,3425731.23418571
186,4070602.68347619
187,5698071.25087619
188,5282377.00120952
189,4616873.11607619
190,4305657.07223333
191,4995532.63596667
192,5418232.94120238
193,3783252.47132857
194,4647725.26403333
195,4387836.09647619
196,4327312.42093333
197,2915365.22873809
198,3953856.8509
199,4573337.74976667
200,4650389.43686667
201,3626106.99190714
202,4708697.24785001
203,4909611.21773333
204,5120382.8291
205,5227894.75070952
206,5580145.44265238
207,4785462.2712381
208,4670796.40988571
209,3898091.40576667
210,5058299.496
211,4657876.3516
212,3425033.66600952
213,3585443.52173333
214,5270260.09246666
215,2349530.81914286
216,4777365.18915
217,5004186.23993333
218,4115791.75114762
219,2894951.16249048
220,5197843.49035793
221,4765494.22366666
222,5315875.03826667
223,4199890.27932381
224,4998779.10254444
225,4810773.68676667
226,3329360.41595714
227,5545120.40648571
228,3514196.98211667
229,5384027.19456666
230,4194219.51073334
231,5232011.27636905
232,4271057.9227
233,4099669.37219524
234,3751729.4204
235,5048173.21567619
236,4270995.9971
237,3668263.64693809
238,4525995.03536666
239,5066015.28766667
240,4382138.53593333
241,4224551.73119365
242,3596063.52752857
243,4829517.09673333
244,5013512.3799
245,4962850.81216666
246,4200162.49643333
247,4713583.8778
248,4627432.92542381
249,4445124.93625238
250,3516851.7059
251,4460969.2129
